Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D4.0mm_P2.00mm,2,80nF,
"C3, C4",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,0.1uF C,
"C5, C7",CP_Radial_D5.0mm_P2.00mm,2,1uF,
"C6, C8",CP_Radial_D4.0mm_P2.00mm,2,33uF,
C9,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,C_Small,
D1,D_SMA,1,SS34,
"H1, H10, H11, H12, H2, H3, H4, H5, H6, H7, H8, H9",TO-92_Inline,12,~,
"J1, J2",CONN-TH_PR5L4015-5P-C-F,2,Conn_01x05,C41361292
"J10, J11",PinSocket_1x20_P2.54mm_Vertical,2,Conn_01x20,
J3,USB_C_Receptacle_Amphenol_12401610E4-2A,1,USB_C_Receptacle_PowerOnly_6P,
J4,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,AudioPlug3,
"J5, J6",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J7,PinSocket_1x16_P2.54mm_Vertical,1,Conn_01x16,
J8,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,
"Q1, Q3",SOT-23,2,SI2307DS,
"Q2, Q4",SOT-23,2,SI2304DS,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,5.1KR,
"R10, R3, R4, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10k,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2k,
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,100 1%,
"RV1, RV2, RV3, RV4, RV5",Potentiometer_Alps_RK09K_Single_Vertical,5,R_Potentiometer,
"RV6, RV7",Potentiometer_Alps_RK09K_Single_Vertical,2,100k,
"SW1, SW2, SW3, SW4, SW5, SW6",SW_Cherry_MX_1.00u_PCB,6,SW_Push,
"U3, U4",SOT-223-3_TabPin2,2,AMS1117-3.3,
U5,PinHeader_1x14_P2.54mm_Vertical,1,TFT_320x240,
