Designator,Mid X,Mid Y,Rotation,Layer
C1,111.599843,-84.574999,0.0,top
C2,88.282358,-84.575,0.0,top
C3,115.272443,-72.174999,180.0,top
C4,91.922444,-72.175,180.0,top
C5,122.31733,-74.124999,0.0,top
C6,109.022443,-71.424999,270.0,top
C7,99.017331,-74.125,0.0,top
C8,85.677557,-71.425,270.0,top
C9,56.2,-56.0,270.0,top
D1,62.755801,-62.55,90.0,top
H1,55.649057,-140.43728,0.0,top
H10,176.659057,-140.48053,0.0,top
H11,187.659057,-140.48053,0.0,top
H12,200.659057,-140.48053,0.0,top
H2,65.649057,-140.43728,0.0,top
H3,77.649057,-140.43728,0.0,top
H4,89.649057,-140.43728,0.0,top
H5,99.649057,-140.43728,0.0,top
H6,121.659057,-140.48053,0.0,top
H7,143.659057,-140.48053,0.0,top
H8,152.659057,-140.48053,0.0,top
H9,165.659057,-140.48053,0.0,top
J1,203.155801,-123.0,90.0,top
J10,174.745498,-77.61,0.0,top
J11,196.745498,-77.61,0.0,top
J2,53.255801,-123.0,90.0,top
J3,66.038301,-51.43,180.0,top
J4,81.838301,-56.9,0.0,top
J5,170.592998,-77.61,0.0,top
J6,200.897998,-77.61,0.0,top
J7,173.4565,-130.893594,90.0,top
J8,171.0365,-109.876094,90.0,top
Q1,117.584943,-76.324999,180.0,top
Q2,117.584943,-84.474999,180.0,top
Q3,94.222444,-76.325,180.0,top
Q4,94.212557,-84.505,180.0,top
R1,66.380801,-65.18,270.0,top
R10,85.390057,-75.7,0.0,top
R2,69.755801,-65.18,270.0,top
R3,122.272443,-83.524999,270.0,top
R4,98.927557,-83.525,270.0,top
R5,114.492443,-88.604999,180.0,top
R6,91.147557,-88.605,180.0,top
R7,108.734943,-79.424999,180.0,top
R8,85.390057,-79.425,180.0,top
R9,108.734943,-75.699999,180.0,top
RV1,68.155801,-120.808239,90.0,top
RV2,85.685201,-120.808239,90.0,top
RV3,103.214601,-120.808239,90.0,top
RV4,120.744001,-120.808239,90.0,top
RV5,138.273401,-120.808239,90.0,top
RV6,116.95,-58.0,90.0,top
RV7,97.919151,-58.0,90.0,top
SW1,139.39065,-61.352735,180.0,top
SW2,158.67565,-61.352735,180.0,top
SW3,139.39065,-80.642735,180.0,top
SW4,158.67565,-80.642735,180.0,top
SW5,158.67565,-99.432735,180.0,top
SW6,139.39065,-99.432735,180.0,top
U3,61.7,-78.45,90.0,top
U4,73.4,-78.45,90.0,top
U5,53.7,-85.557735,0.0,top
