"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1,C2","2","80nF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"C3,C4","2","0.1uF C","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C5,C7","2","1uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Rect_L9.0mm_W3.2mm_P7.50mm_MKT",""
"C6,C8","2","33uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"D1","1","SS14","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"H6,H7,H8,H9,H10,H11,H12","7","","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-92_Inline",""
"J1,J2","2","Conn_01x05","","","","","${EXCLUDE_FROM_POS_FILES}","synth:CONN-TH_PR5L4015-5P-C-F",""
"J3","1","USB_C_Receptacle_PowerOnly_6P","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J4","1","AudioPlug3","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal",""
"J5,J6","2","Conn_01x20","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical",""
"J7","1","Conn_01x16","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical",""
"J8","1","Conn_01x08","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"J9","1","Conn_01x07","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
"Q1,Q3","2","SI2307DS","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"Q2,Q4","2","SI2304DS","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"R1,R2","2","5.1KR","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R3,R4,R9,R10","4","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R5,R6","2","2k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R7,R8","2","100 1%","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"RV1,RV2,RV3,RV4,RV5","5","R_Potentiometer","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical",""
"RV6,RV7","2","100k","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"SW1,SW2,SW3,SW4,SW5","5","SW_Push","","","","","${EXCLUDE_FROM_POS_FILES}","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"U2","1","YAAJ_WeAct_BlackPill_Part_Like","","","","","${EXCLUDE_FROM_POS_FILES}","YAAJ_Pills:YAAJ_WeAct_BlackPill_2",""
"U3,U4","2","AMS1117-3.3","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U5","1","TFT_320x240","","","","","${EXCLUDE_FROM_POS_FILES}","Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical",""
